,User_Id,Place_Id,Place_Ratings,user,place
0,1,179,3,0,0
1,1,344,2,0,1
2,1,5,5,0,2
3,1,373,3,0,3
4,1,101,4,0,4
5,1,312,2,0,5
6,1,258,5,0,6
7,1,20,4,0,7
8,1,154,2,0,8
9,1,393,5,0,9
10,1,103,3,0,10
11,1,208,5,0,11
12,1,89,3,0,12
13,1,405,5,0,13
14,1,41,5,0,14
15,1,336,4,0,15
16,1,67,4,0,16
17,1,292,3,0,17
18,1,222,3,0,18
19,1,76,2,0,19
20,1,428,3,0,20
21,1,15,3,0,21
22,1,246,4,0,22
23,1,265,5,0,23
24,1,21,2,0,24
25,1,328,2,0,25
26,1,307,4,0,26
27,1,302,2,0,27
28,1,48,2,0,28
29,1,328,2,0,25
30,2,147,2,1,29
31,2,2,5,1,30
32,2,322,4,1,31
33,2,23,3,1,32
34,2,85,4,1,33
35,2,371,3,1,34
36,2,78,5,1,35
37,2,111,2,1,36
38,2,107,2,1,37
39,2,185,2,1,38
40,2,413,3,1,39
41,2,389,2,1,40
42,2,437,5,1,41
43,2,105,2,1,42
44,2,176,3,1,43
45,2,407,5,1,44
46,2,208,5,1,11
47,2,437,4,1,41
48,2,208,3,1,11
49,2,281,2,1,45
50,2,167,2,1,46
51,2,384,5,1,47
52,2,426,4,1,48
53,2,390,2,1,49
54,2,367,2,1,50
55,2,166,2,1,51
56,2,18,5,1,52
57,2,321,3,1,53
58,2,262,3,1,54
59,3,223,5,2,55
60,3,17,5,2,56
61,3,319,5,2,57
62,3,310,3,2,58
63,3,421,3,2,59
64,3,202,5,2,60
65,3,48,2,2,28
66,3,283,3,2,61
67,3,202,3,2,60
68,3,250,2,2,62
69,3,118,2,2,63
70,3,54,2,2,64
71,3,70,3,2,65
72,3,33,4,2,66
73,3,227,2,2,67
74,3,86,4,2,68
75,3,105,5,2,42
76,3,249,3,2,69
77,3,131,4,2,70
78,3,382,2,2,71
79,3,193,2,2,72
80,3,176,2,2,43
81,3,104,3,2,73
82,3,24,4,2,74
83,3,128,5,2,75
84,3,134,3,2,76
85,3,228,3,2,77
86,3,237,3,2,78
87,3,100,4,2,79
88,3,198,5,2,80
89,4,50,2,3,81
90,4,376,2,3,82
91,4,268,4,3,83
92,4,242,4,3,84
93,4,82,3,3,85
94,4,348,5,3,86
95,4,409,3,3,87
96,4,88,3,3,88
97,4,4,4,3,89
98,4,377,3,3,90
99,4,43,5,3,91
100,4,15,4,3,21
101,4,91,3,3,92
102,4,193,5,3,72
103,4,312,3,3,5
104,4,44,2,3,93
105,4,14,5,3,94
106,4,406,3,3,95
107,4,383,2,3,96
108,4,229,2,3,97
109,4,290,3,3,98
110,4,5,5,3,2
111,4,294,5,3,99
112,4,309,5,3,100
113,4,74,2,3,101
114,4,97,2,3,102
115,5,421,4,4,59
116,5,138,2,4,103
117,5,436,5,4,104
118,5,395,2,4,105
119,5,300,4,4,106
120,5,321,3,4,53
121,5,68,5,4,107
122,5,55,5,4,108
123,5,434,4,4,109
124,5,9,5,4,110
125,5,166,3,4,51
126,5,151,5,4,111
127,5,4,3,4,89
128,5,61,3,4,112
129,5,321,3,4,53
130,5,159,2,4,113
131,5,397,5,4,114
132,5,391,2,4,115
133,5,407,3,4,44
134,5,301,2,4,116
135,5,143,4,4,117
136,5,27,2,4,118
137,5,283,4,4,61
138,5,190,2,4,119
139,5,346,4,4,120
140,5,67,4,4,16
141,5,381,3,4,121
